plot;stage;stage2;diam;fate;fate2;X_10;Y_10
5;2;immature;5;0;dead;0.5;8
5;2;immature;5;0;dead;4.5;6.5
5;2;immature;5;0;dead;4.5;6.5
5;2;immature;5;0;dead;3;8
5;2;immature;5;0;dead;3;3
5;2;immature;5;0;dead;0.5;5
5;2;immature;64.7;0;dead;7;10
5;2;immature;5.5;0;dead;6.5;4.5
5;2;immature;5;0;dead;6.5;3.5
5;2;immature;5;0;dead;7;10
5;2;immature;5.5;0;dead;8;1
5;2;immature;5;0;dead;7;1.5
5;2;immature;5;0;dead;3;3
5;2;immature;5;0;dead;4;9.5
5;2;immature;5;0;dead;7.5;8
5;2;immature;5;0;dead;3;5
5;2;immature;5;0;dead;2;9
5;2;immature;5.8;0;dead;1.4;4.5
5;2;immature;5;0;dead;3;6
5;2;immature;5;0;dead;1.5;3
5;2;immature;5;0;dead;5.5;6.5
5;2;immature;5.5;0;dead;5.5;6.5
5;2;immature;89.3;3;Reprodutivo;5;5.5
5;2;immature;5;0;dead;1;7.5
6;2;immature;11.3;3;Reprodutivo;9.5;0.5
6;2;immature;5;3;Reprodutivo;1;3
6;2;immature;5;0;dead;3;9.8
6;2;immature;5;0;dead;3;9.8
6;2;immature;5;0;dead;5.5;8
6;2;immature;5;0;dead;10;4
6;2;immature;21.4;0;dead;1;8
6;2;immature;5;0;dead;1;6.5
6;2;immature;5;3;Reprodutivo;9;2
6;2;immature;8.28;0;dead;5.5;4
6;2;immature;5;0;dead;7.5;7
6;2;immature;5;0;dead;9.5;7.5
6;2;immature;6.5;3;Reprodutivo;5;4
6;2;immature;37.5;0;dead;4.5;7.5
6;2;immature;13.6;0;dead;6.5;6
6;2;immature;19.4;3;Reprodutivo;9.5;5
6;2;immature;7.7;0;dead;1;4.5
6;2;immature;5;0;dead;5;3.5
6;2;immature;5;0;dead;3;3.5
6;2;immature;5;0;dead;8;6.5
6;2;immature;5;0;dead;8;6.5
6;2;immature;5;0;dead;9.5;8.5
6;2;immature;5;0;dead;9.5;8.5
6;2;immature;5;0;dead;9.5;8.5
6;2;immature;11;0;dead;9.5;8.5
6;2;immature;5;0;dead;7;0
6;2;immature;5;0;dead;7;2
6;2;immature;5;0;dead;8.5;2
6;2;immature;6.8;0;dead;9;9.5
7;2;immature;5;2;immature;9;7
7;2;immature;11.4;0;dead;8;7.5
7;2;immature;5;2;immature;2.5;8
7;2;immature;5.7;0;dead;8.5;1.5
7;2;immature;5;0;dead;8;9
7;2;immature;0;0;dead;4;10
7;2;immature;5;0;dead;6;7.5
7;2;immature;5;0;dead;10;9
7;2;immature;5;0;dead;2.5;1.5
7;2;immature;5;0;dead;0.5;5.5
7;2;immature;6.3;0;dead;8;7.5
7;2;immature;5;0;dead;4;2
7;2;immature;5;0;dead;1.5;6.5
7;2;immature;11.7;0;dead;6;9
7;2;immature;5;0;dead;4;2
7;2;immature;5;0;dead;2.5;6
7;2;immature;5;0;dead;7.5;6.5
8;2;immature;5;0;dead;10;1
8;2;immature;5;0;dead;9.5;6
8;2;immature;5;0;dead;6;2
8;2;immature;5;0;dead;0;2
8;2;immature;5;0;dead;0;2
9;2;immature;5;0;dead;1;1.5
9;2;immature;8.8;0;dead;9;2.5
9;2;immature;5;0;dead;3;2.5
9;2;immature;5;0;dead;3;2.5
9;2;immature;5;0;dead;1;7
9;2;immature;5;0;dead;8;3
9;2;immature;5;0;dead;3;8.5
9;2;immature;5;0;dead;1;1.5
9;2;immature;5;0;dead;3;8
9;2;immature;5;0;dead;8.5;0
9;2;immature;5;3;Reprodutivo;4;6
9;2;immature;5;0;dead;6;2.5
9;2;immature;5;0;dead;0;8.5
9;2;immature;5;0;dead;1;3
9;2;immature;5;0;dead;1.5;4.5
9;2;immature;6.9;0;dead;8;7.5
9;2;immature;5;0;dead;3;1
9;2;immature;64.1;0;dead;8.5;8.5
9;2;immature;5;2;immature;7;4.5
9;2;immature;5;0;dead;6.5;7
9;2;immature;5;0;dead;10;4
9;2;immature;48.9;0;dead;10;6.5
9;2;immature;22.6;0;dead;9;9
9;2;immature;7.7;0;dead;9;9
9;2;immature;5;0;dead;4;4
9;2;immature;5;0;dead;5;4.5
9;2;immature;7.7;0;dead;9;1
9;2;immature;16.1;2;immature;4.5;6
9;2;immature;5;0;dead;1.5;3.5
9;2;immature;5;0;dead;2.5;9.5
9;2;immature;5;2;immature;2.5;9.5
9;2;immature;5;0;dead;1.5;8
9;2;immature;18.7;3;Reprodutivo;8;6
9;2;immature;9.3;0;dead;5;8
9;2;immature;5;0;dead;7;6
9;2;immature;5;0;dead;7;6
9;2;immature;16;0;dead;4;4.5
10;2;immature;11.2;0;dead;3.5;4.5
10;2;immature;13.9;0;dead;4;5
10;2;immature;5;0;dead;3;4
10;2;immature;12.9;3;Reprodutivo;1.5;8
10;2;immature;5;0;dead;1.5;7.5
10;2;immature;24.2;0;dead;6;10
10;1;seed;;2;Jovem;;
1;1;seed;;2;Jovem;;
1;1;seed;;2;Jovem;;
1;1;seed;;2;Jovem;;
1;1;seed;;3;Reprodutiva;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;3;Reprodutiva;;
2;1;seed;;2;Jovem;;
2;1;seed;;3;Reprodutiva;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;3;Reprodutiva;;
2;1;seed;;2;Jovem;;
2;1;seed;;3;Reprodutiva;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;3;Reprodutiva;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;3;Reprodutiva;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;3;Reprodutiva;;
2;1;seed;;3;Reprodutiva;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
2;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
3;1;seed;;2;Jovem;;
4;1;seed;;2;Jovem;;
4;1;seed;;2;Jovem;;
4;1;seed;;2;Jovem;;
4;1;seed;;2;Jovem;;
4;1;seed;;2;Jovem;;
4;1;seed;;2;Jovem;;
4;1;seed;;2;Jovem;;
4;1;seed;;2;Jovem;;
4;1;seed;;2;Jovem;;
4;1;seed;;2;Jovem;;
4;1;seed;;2;Jovem;;
4;1;seed;;2;Jovem;;
4;1;seed;;2;Jovem;;
4;1;seed;;2;Jovem;;
4;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;3;Reprodutiva;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
5;1;seed;;2;Jovem;;
6;1;seed;;2;Jovem;;
6;1;seed;;2;Jovem;;
6;1;seed;;2;Jovem;;
6;1;seed;;2;Jovem;;
6;1;seed;;2;Jovem;;
6;1;seed;;2;Jovem;;
6;1;seed;;2;Jovem;;
6;1;seed;;2;Jovem;;
6;1;seed;;3;Reprodutiva;;
6;1;seed;;2;Jovem;;
6;1;seed;;2;Jovem;;
6;1;seed;;2;Jovem;;
6;1;seed;;3;Reprodutiva;;
6;1;seed;;2;Jovem;;
6;1;seed;;2;Jovem;;
6;1;seed;;2;Jovem;;
7;1;seed;;2;Jovem;;
7;1;seed;;2;Jovem;;
7;1;seed;;2;Jovem;;
7;1;seed;;2;Jovem;;
7;1;seed;;2;Jovem;;
7;1;seed;;2;Jovem;;
7;1;seed;;2;Jovem;;
7;1;seed;;2;Jovem;;
7;1;seed;;2;Jovem;;
7;1;seed;;2;Jovem;;
7;1;seed;;2;Jovem;;
7;1;seed;;2;Jovem;;
7;1;seed;;2;Jovem;;
7;1;seed;;2;Jovem;;
7;1;seed;;2;Jovem;;
7;1;seed;;3;Reprodutiva;;
7;1;seed;;2;Jovem;;
7;1;seed;;2;Jovem;;
7;1;seed;;2;Jovem;;
7;1;seed;;2;Jovem;;
7;1;seed;;2;Jovem;;
8;1;seed;;2;Jovem;;
8;1;seed;;2;Jovem;;
8;1;seed;;2;Jovem;;
8;1;seed;;2;Jovem;;
8;1;seed;;2;Jovem;;
8;1;seed;;2;Jovem;;
8;1;seed;;2;Jovem;;
8;1;seed;;2;Jovem;;
8;1;seed;;2;Jovem;;
8;1;seed;;2;Jovem;;
8;1;seed;;2;Jovem;;
8;1;seed;;2;Jovem;;
8;1;seed;;2;Jovem;;
8;1;seed;;2;Jovem;;
8;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;3;Reprodutiva;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
9;1;seed;;2;Jovem;;
10;1;seed;;2;Jovem;;
10;1;seed;;2;Jovem;;
10;1;seed;;2;Jovem;;
10;1;seed;;2;Jovem;;
10;1;seed;;2;Jovem;;
10;1;seed;;2;Jovem;;
10;1;seed;;2;Jovem;;
